Price,Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Engine volume,Mileage(Km),Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags,Age
20698,1051,KIA,Optima,Sedan,No,Petrol,2.4,48000,4,Tiptronic,Front,Left wheel,Grey,12,9
392,781,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,314373,4,Automatic,Front,Left wheel,Grey,12,13
18826,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,116891,4,Automatic,Front,Left wheel,White,4,13
16151,707,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,53463,4,Automatic,Front,Left wheel,Grey,4,14
25089,-,VOLKSWAGEN,Passat,Sedan,Yes,Petrol,1.8,68000,4,Tiptronic,Front,Left wheel,Carnelian red,12,11
17249,502,TOYOTA,Prius C,Hatchback,Yes,Hybrid,1.5,90000,4,Automatic,Front,Left wheel,Blue,12,12
16788,707,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,185706,4,Automatic,Front,Left wheel,White,4,14
549,639,MERCEDES-BENZ,CLA 250,Sedan,Yes,Petrol,2.0,0,4,Automatic,Front,Left wheel,Grey,12,11
6272,-,HONDA,FIT,Hatchback,No,Petrol,1.3,115500,4,Variator,Front,Right-hand drive,Blue,2,23
14740,-,HONDA,Insight,Sedan,No,Hybrid,1.3,156000,4,Variator,Front,Left wheel,Black,4,16
3450,-,MERCEDES-BENZ,C 180,Sedan,No,Petrol,1.8,20000,4,Manual,Rear,Left wheel,Blue,2,30
7213,-,VOLKSWAGEN,Golf,Sedan,Yes,Diesel,1.9,200000,4,Manual,Front,Left wheel,Silver,4,24
1019,1055,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,138038,6,Automatic,Front,Left wheel,White,12,12
6429,2225,TOYOTA,Tundra,Sedan,Yes,Petrol,4.6,190875,8,Automatic,4x4,Left wheel,White,12,8
39201,-,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,52000,4,Tiptronic,Front,Left wheel,Black,8,8
32904,640,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,224077,4,Automatic,Front,Left wheel,White,4,12
43905,-,BMW,X5,Jeep,Yes,Diesel,3.0,263000,6,Tiptronic,4x4,Left wheel,Black,12,14
3500,-,OPEL,Astra,Universal,No,Petrol,1.6,30000,4,Manual,Front,Left wheel,Carnelian red,2,29
120740,2297,MERCEDES-BENZ,G 63 AMG,Jeep,Yes,Petrol,5.5,62187,8,Automatic,4x4,Left wheel,White,12,9
23932,640,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,166762,4,Automatic,Front,Left wheel,White,4,12
18400,531,NISSAN,Juke,Jeep,No,Petrol,1.6,0,4,Automatic,Front,Left wheel,Black,10,13
7997,1537,TOYOTA,Highlander,Jeep,Yes,Hybrid,3.3,251278,6,Automatic,4x4,Left wheel,Green,12,16
22715,503,TOYOTA,Aqua,Hatchback,Yes,Petrol,1.5,40740,4,Automatic,Front,Left wheel,Black,4,13
11290,738,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,148800,4,Tiptronic,Front,Left wheel,Red,12,8
14583,919,BMW,X5,Jeep,Yes,Diesel,3.0,229966,6,Automatic,4x4,Left wheel,Black,0,13
9888,1024,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,351108,4,Automatic,Front,Left wheel,Silver,4,15
220,1399,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,317470,6,Automatic,4x4,Left wheel,Grey,12,15
29793,1823,MERCEDES-BENZ,GLE 350,Jeep,Yes,Petrol,3.5,9765,6,Automatic,Rear,Left wheel,White,12,7
3450,1017,MERCEDES-BENZ,E 300,Sedan,Yes,Petrol,2.0,50930,4,Automatic,Rear,Left wheel,Black,12,8
5000,-,OPEL,Astra,Goods wagon,No,Diesel,2.0,0,4,Manual,Front,Left wheel,Blue,4,26
7840,-,SUZUKI,Jimny,Jeep,No,Petrol,1.3,128000,4,Manual,4x4,Left wheel,Golden,2,22
12231,-,HONDA,Insight,Sedan,No,Hybrid,1.3,244800,4,Tiptronic,Front,Left wheel,Silver,6,16
10976,1268,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,67000,4,Variator,Front,Right-hand drive,Silver,4,13
392,1091,TOYOTA,RAV 4,Jeep,Yes,Petrol,2.5,125675,4,Automatic,4x4,Left wheel,Red,12,9
27000,-,FORD,Fusion,Sedan,Yes,Plug-in Hybrid,2.0,68700,4,Variator,Front,Left wheel,Grey,8,11
3607,441,HYUNDAI,Sonata,Sedan,Yes,Hybrid,2.4,229192,4,Automatic,Front,Left wheel,Silver,0,10
16935,353,LEXUS,CT 200h,Hatchback,Yes,Hybrid,1.8,94949,4,Automatic,Front,Left wheel,White,0,10
12231,1266,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,66000,4,Variator,Front,Right-hand drive,Silver,4,11
8467,843,TOYOTA,Prius,Hatchback,No,Hybrid,1.5,150000,4,Automatic,Front,Left wheel,Red,6,17
29489,749,JEEP,Compass,Jeep,Yes,Petrol,2.4,74625,4,Automatic,Front,Left wheel,White,4,11
10192,-,OPEL,Astra A.H,Goods wagon,No,Diesel,1.7,290000,4,Manual,Front,Left wheel,Grey,6,20
40769,-,MERCEDES-BENZ,C 180,Sedan,No,Petrol,1.8,212485,8,Manual,Rear,Left wheel,Green,2,29
30151,765,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,143278,4,Automatic,Front,Left wheel,Grey,4,10
12585,1047,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,126184,4,Automatic,Front,Left wheel,Silver,4,18
14426,-,TOYOTA,Aqua,Hatchback,No,Petrol,1.5,140000,4,Automatic,Front,Right-hand drive,Sky blue,4,13
15681,-,FIAT,500 turbo,Hatchback,Yes,Petrol,1.4,58000,4,Manual,Front,Left wheel,White,12,13
2901,503,HONDA,Civic,Sedan,Yes,Hybrid,1.5,146403,4,Automatic,Front,Left wheel,White,0,13
20237,862,HYUNDAI,H1,Universal,Yes,Diesel,2.5,247791,4,Automatic,Front,Left wheel,Grey,4,14
5018,779,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,190549,4,Automatic,Front,Left wheel,Black,12,12
6586,1236,HONDA,FIT,Hatchback,No,Petrol,1.3,118000,4,Variator,Front,Right-hand drive,Black,2,14
16308,640,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,194210,4,Automatic,Front,Left wheel,Black,4,12
4077,-,OPEL,Astra,Sedan,No,Petrol,1.6,180000,4,Automatic,Front,Left wheel,Grey,2,28
15681,585,HYUNDAI,Elantra,Sedan,No,Petrol,1.8,184874,4,Automatic,Front,Left wheel,Black,8,12
78403,-,MERCEDES-BENZ,C 300,Sedan,Yes,Petrol,2.0,10000,4,Tiptronic,Rear,Left wheel,White,12,7
3293,1079,HYUNDAI,Elantra,Sedan,Yes,Petrol,2.0,47200,4,Automatic,Front,Left wheel,Grey,12,7
23110,986,JEEP,Compass,Jeep,Yes,Petrol,2.4,121000,4,Automatic,Front,Left wheel,Silver,4,15
549,1363,MERCEDES-BENZ,CLS 550,Sedan,Yes,Petrol,4.6,0,8,Automatic,4x4,Left wheel,Black,12,13
18503,730,HYUNDAI,Elantra,Sedan,Yes,LPG,1.6,33091,4,Automatic,Front,Left wheel,Silver,4,9
23834,1141,FORD,Transit,Microbus,No,Diesel,2.4,0,4,Manual,Rear,Left wheel,Yellow,2,16
17876,697,VOLKSWAGEN,Jetta,Sedan,Yes,Petrol,1.8,71777,4,Tiptronic,Front,Left wheel,Grey,10,10
7840,-,MERCEDES-BENZ,E 200,Sedan,No,CNG,2.0,554,4,Manual,Rear,Left wheel,Blue,2,30
13642,1172,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,64496,6,Automatic,4x4,Left wheel,Blue,12,14
5959,1730,CHEVROLET,Avalanche,Sedan,Yes,Petrol,5.3,246976,8,Automatic,Front,Left wheel,Black,12,14
549,1292,MERCEDES-BENZ,GLE 350,Jeep,Yes,Petrol,3.0,86189,6,Automatic,4x4,Left wheel,Blue,0,9
9252,687,DAEWOO,Lacetti,Sedan,Yes,Petrol,1.6,130000,4,Automatic,Front,Left wheel,Grey,4,15
16000,-,BMW,X5,Jeep,Yes,Petrol,3.0,300000,6,Tiptronic,4x4,Left wheel,Silver,10,21
18817,-,TOYOTA,Prius,Sedan,Yes,Hybrid,1.8,288034,4,Automatic,Front,Left wheel,Silver,8,16
39201,1811,LEXUS,GX 460,Jeep,Yes,Petrol,4.6,155821,8,Automatic,4x4,Left wheel,Black,0,15
8311,891,MERCEDES-BENZ,GLA 250,Jeep,Yes,Petrol,2.0,109555,4,Automatic,Front,Left wheel,White,0,9
22894,1273,MERCEDES-BENZ,ML 350,Jeep,Yes,Diesel,3.5,79080,6,Automatic,4x4,Left wheel,Grey,12,10
25,-,MERCEDES-BENZ,A 190,Hatchback,Yes,Petrol,1.9,145000,4,Tiptronic,Front,Right-hand drive,Black,4,23
9400,-,BMW,528,Sedan,Yes,LPG,2.8,0,6,Tiptronic,Rear,Left wheel,Black,6,25
41547,639,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,133169,4,Automatic,Front,Left wheel,White,4,11
9408,-,MERCEDES-BENZ,C 180,Universal,No,CNG,1.8,196090,4,Variator,Rear,Left wheel,Black,2,28
470,1399,LEXUS,RX 350,Jeep,Yes,Petrol,3.5,138070,6,Automatic,4x4,Left wheel,Black,12,15
24283,639,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,189000,4,Automatic,Front,Left wheel,White,4,11
36068,777,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,85933,4,Automatic,Front,Left wheel,Silver,4,11
16621,1172,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,119379,6,Automatic,4x4,Left wheel,Silver,12,14
65024,1055,FORD,Explorer,Jeep,Yes,Petrol,3.5,46616,4,Automatic,Front,Left wheel,White,4,12
20,-,HONDA,FIT,Hatchback,No,Petrol,1.3,157000,4,Automatic,Front,Right-hand drive,Red,4,22
94,1017,HYUNDAI,Elantra,Jeep,Yes,Petrol,2.0,284251,4,Automatic,Front,Left wheel,Grey,12,8
7213,397,CHEVROLET,Matiz,Sedan,Yes,Petrol,1.0,38799,4,Automatic,Front,Left wheel,Black,4,14
470,1083,CHEVROLET,Impala,Sedan,Yes,Petrol,3.6,295126,6,Automatic,Front,Left wheel,Black,12,12
80,-,TOYOTA,Prius,Sedan,No,Hybrid,1.8,224000,4,Automatic,Front,Left wheel,Black,4,15
31361,-,MERCEDES-BENZ,Sprinter,Microbus,Yes,Diesel,2.7,200000,5,Manual,Rear,Left wheel,White,2,21
29793,1053,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,219030,6,Automatic,4x4,Left wheel,Black,12,11
41917,694,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.2,188679,4,Automatic,Front,Left wheel,White,4,11
5488,394,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,109798,4,Automatic,Front,Left wheel,White,12,11
29144,891,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,42765,4,Automatic,Front,Left wheel,White,4,9
220,1194,TOYOTA,Tacoma,Jeep,Yes,Petrol,4.0,239342,6,Automatic,4x4,Left wheel,Silver,12,12
188,1185,FORD,Escape,Jeep,Yes,Hybrid,2.5,196682,4,Automatic,Front,Left wheel,Black,0,16
40142,1811,LEXUS,GX 470,Jeep,Yes,Petrol,4.6,357246,8,Automatic,4x4,Left wheel,Grey,0,15
23207,-,FORD,C-MAX,Hatchback,Yes,Plug-in Hybrid,2.0,65000,4,Automatic,Front,Left wheel,Red,8,11
36231,1091,HYUNDAI,H1,Universal,Yes,Diesel,2.5,182541,4,Automatic,Front,Left wheel,Silver,4,9
31361,-,LEXUS,GX 470,Jeep,Yes,CNG,4.7,204000,8,Automatic,4x4,Left wheel,Black,8,22
15132,836,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,179307,4,Automatic,Front,Left wheel,Silver,4,15
50,-,HONDA,FIT,Hatchback,No,Petrol,1.3,14000,4,Automatic,Front,Right-hand drive,Blue,2,19
15458,836,HYUNDAI,Genesis,Coupe,Yes,Petrol,2.0,93238,4,Automatic,Front,Left wheel,White,4,15
35902,891,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,99821,4,Automatic,Front,Left wheel,White,4,9
1019,382,CHEVROLET,Volt,Hatchback,Yes,Plug-in Hybrid,1.5,102379,4,Automatic,Front,Left wheel,Blue,12,8
54807,891,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,59000,4,Automatic,Front,Left wheel,Grey,4,9
11133,503,TOYOTA,Prius C 1.5I,Sedan,No,Hybrid,1.5,127200,4,Automatic,Front,Left wheel,Brown,10,13
12544,-,TOYOTA,Prius,Sedan,No,Hybrid,1.5,2700,4,Variator,Front,Left wheel,Brown,6,17
25396,595,TOYOTA,Aqua,Hatchback,Yes,Petrol,1.5,52959,4,Automatic,Front,Left wheel,Yellow,4,10
64917,-,MERCEDES-BENZ,C 300,Sedan,Yes,Petrol,2.0,83000,6,Tiptronic,Rear,Left wheel,Black,12,10
2587,639,HYUNDAI,Santa FE,Jeep,Yes,Petrol,2.0,174664,4,Automatic,Front,Left wheel,White,12,11
26491,502,TOYOTA,Aqua,Hatchback,Yes,Hybrid,1.5,69500,4,Automatic,Front,Left wheel,Silver,4,12
43905,-,BMW,530 GT,Hatchback,Yes,Diesel,3.0,165000,6,Automatic,4x4,Left wheel,Silver,12,15
2822,1211,FORD,Fusion,Sedan,Yes,Petrol,3.0,150000,6,Automatic,Front,Left wheel,White,8,15
1019,1172,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,122067,6,Automatic,4x4,Left wheel,White,12,14
24148,-,TOYOTA,Land Cruiser Prado,Jeep,No,LPG,3.4,150000,6,Automatic,4x4,Right-hand drive,Sky blue,2,25
8154,-,MERCEDES-BENZ,E 320,Sedan,Yes,CNG,3.2,220000,6,Tiptronic,Rear,Left wheel,Black,6,27
5802,1055,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,107800,6,Automatic,Rear,Left wheel,Grey,12,12
1646,777,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,92891,4,Automatic,Front,Left wheel,White,12,11
9722,1675,FORD,Transit,Microbus,No,Diesel,2.0,200000,4,Manual,Front,Left wheel,White,0,21
8386,364,CHEVROLET,Spark,Hatchback,Yes,Petrol,1.0,199185,4,Automatic,Front,Left wheel,Blue,4,13
8500,-,MERCEDES-BENZ,208,Microbus,No,Diesel,2.9,2000,5,Manual,Rear,Left wheel,White,1,30
2195,645,HYUNDAI,Elantra,Jeep,Yes,Petrol,1.8,308501,4,Automatic,Front,Left wheel,Blue,12,14
21012,-,TOYOTA,Camry sport,Sedan,No,Petrol,2.5,12000,4,Tiptronic,Front,Left wheel,Black,8,13
38562,891,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,195996,4,Automatic,Front,Left wheel,White,4,9
3136,781,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,159379,4,Automatic,Front,Left wheel,White,12,13
1019,1018,BMW,535,Sedan,Yes,Petrol,3.0,0,6,Automatic,Rear,Left wheel,Black,12,14
3607,781,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,156518,4,Automatic,Front,Left wheel,White,12,13
23204,501,HONDA,FIT,Hatchback,Yes,Petrol,1.5,63300,4,Automatic,Front,Left wheel,Silver,4,11
41701,640,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,147470,4,Automatic,Front,Left wheel,Black,4,12
87497,1275,HONDA,Cr-v,Sedan,No,Petrol,2.4,0,4,Variator,4x4,Left wheel,Silver,6,6
20542,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,43071,4,Automatic,Front,Left wheel,White,4,10
22580,-,CHEVROLET,Volt,Hatchback,Yes,Plug-in Hybrid,1.4,248000,4,Automatic,Front,Left wheel,Grey,0,14
15367,919,MERCEDES-BENZ,C 300,Sedan,Yes,Petrol,3.0,209224,6,Automatic,4x4,Left wheel,Black,12,13
8311,364,KIA,Picanto,Sedan,Yes,Petrol,1.0,197687,4,Automatic,Front,Left wheel,White,4,13
17876,584,HYUNDAI,Elantra,Sedan,No,Petrol,1.8,155360,4,Tiptronic,Front,Left wheel,Grey,6,11
1882,831,LEXUS,HS 250h,Sedan,Yes,Hybrid,2.4,0,4,Automatic,Front,Left wheel,Silver,12,14
706,394,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,381365,4,Automatic,Front,Left wheel,Silver,12,11
18189,-,LAND ROVER,Land Rover Sport,Jeep,Yes,Petrol,4.2,256000,8,Tiptronic,4x4,Left wheel,White,6,18
10036,639,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,720227,4,Automatic,Front,Left wheel,Silver,4,11
15063,836,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,57700,4,Automatic,Front,Left wheel,White,4,15
14740,11706,MERCEDES-BENZ,E 500 AVG,Sedan,Yes,Petrol,5.0,56000,12,Tiptronic,Rear,Right-hand drive,Black,12,20
9418,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,43514,4,Automatic,Front,Left wheel,White,4,10
11917,779,TOYOTA,RAV 4,Jeep,Yes,Petrol,2.5,110019,4,Automatic,Front,Left wheel,Grey,12,12
2666,585,HYUNDAI,Elantra,Coupe,Yes,Petrol,1.8,89962,4,Automatic,Front,Left wheel,Blue,12,12
4234,789,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.6,45256,4,Automatic,Front,Left wheel,White,4,16
24148,836,AUDI,Q5,Jeep,Yes,Petrol,2.0,18000,4,Automatic,4x4,Left wheel,White,6,15
8467,-,NISSAN,Tiida,Hatchback,Yes,Petrol,1.5,148901,4,Automatic,Front,Right-hand drive,Blue,2,20
14834,707,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,190000,4,Automatic,Front,Left wheel,Grey,4,14
44878,891,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,61785,4,Automatic,Front,Left wheel,Grey,4,9
314,583,NISSAN,Juke,Jeep,Yes,Petrol,1.6,238995,4,Automatic,Front,Left wheel,Blue,0,14
28225,-,BMW,X5,Jeep,Yes,Diesel,3.0,221500,6,Tiptronic,4x4,Left wheel,Silver,6,18
12143,642,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,236781,4,Automatic,Front,Left wheel,White,4,13
29793,1053,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,219030,6,Automatic,4x4,Left wheel,Black,12,11
49751,1079,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,77130,4,Automatic,Front,Left wheel,Blue,4,7
15060,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,160717,4,Automatic,Front,Left wheel,Silver,4,10
14113,-,HONDA,Shuttle,Universal,No,Hybrid,1.3,150000,4,Automatic,Front,Right-hand drive,White,4,12
9408,-,CHRYSLER,300,Coupe,Yes,Petrol,3.0,168000,6,Automatic,Front,Left wheel,Red,6,21
706,1399,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,205968,6,Automatic,4x4,Left wheel,White,12,15
15053,779,MAZDA,CX-5,Jeep,No,Petrol,2.5,91000,4,Tiptronic,4x4,Left wheel,Silver,10,12
54346,955,JEEP,Wrangler,Jeep,Yes,Diesel,2.8,181900,4,Automatic,Front,Left wheel,Silver,4,14
92502,1760,JEEP,Wrangler,Jeep,Yes,Petrol,3.6,13897,4,Automatic,Front,Left wheel,Grey,4,8
157,640,FORD,Fusion,Sedan,Yes,Hybrid,2.0,339920,4,Automatic,Front,Left wheel,White,0,12
14113,741,KIA,Cadenza,Sedan,Yes,Petrol,2.4,40103,4,Automatic,Front,Left wheel,Black,4,13
26657,-,LEXUS,IS 250,Sedan,Yes,Petrol,2.5,245000,6,Tiptronic,Rear,Left wheel,Grey,10,16
28059,639,CHEVROLET,Orlando,Jeep,Yes,Diesel,2.0,73650,4,Automatic,Front,Left wheel,Silver,4,11
7683,640,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,21500,4,Automatic,Front,Left wheel,Silver,4,12
8154,-,BMW,318,Sedan,Yes,Petrol,1.9,240000,4,Manual,Rear,Left wheel,Silver,2,24
8467,-,NISSAN,Tiida,Hatchback,Yes,Petrol,1.5,1111,4,Variator,Front,Right-hand drive,Green,7,20
5331,-,MERCEDES-BENZ,A 160,Sedan,No,Petrol,1.6,130000,4,Tiptronic,Front,Left wheel,Black,6,21
18189,-,MERCEDES-BENZ,E 350,Sedan,Yes,Petrol,3.5,200000,6,Tiptronic,Rear,Left wheel,Silver,12,18
11604,-,MERCEDES-BENZ,Sprinter,Microbus,No,Diesel,2.2,0,4,Manual,Rear,Left wheel,White,2,23
15681,1017,HYUNDAI,Elantra,Sedan,No,Petrol,2.0,38000,4,Automatic,Front,Left wheel,White,8,8
18503,-,TOYOTA,Prius,Hatchback,No,Petrol,1.8,160000,4,Variator,Front,Left wheel,White,8,13
11290,891,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,259733,4,Automatic,Front,Left wheel,Silver,4,9
10036,-,TOYOTA,Ist,Hatchback,No,Petrol,1.5,170000,4,Automatic,Front,Right-hand drive,White,4,20
1254,-,MITSUBISHI,Lancer,Sedan,No,Petrol,1.3,100000,4,Manual,Rear,Left wheel,Red,0,28
14800,-,SUZUKI,Every Landy NISSAN SEREN,Minivan,No,Petrol,2.0,162000,4,Variator,Front,Right-hand drive,Silver,6,12
9879,1327,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,44845,4,Automatic,Front,Left wheel,Brown,12,7
20698,900,HYUNDAI,Sonata,Sedan,No,Petrol,2.4,65000,4,Tiptronic,Front,Left wheel,Black,12,10
80,-,HYUNDAI,Elantra,Sedan,Yes,LPG,1.8,208000,6,Tiptronic,Front,Left wheel,Golden,6,12
627,1172,NISSAN,Maxima,Sedan,Yes,Petrol,3.5,147242,6,Automatic,Front,Left wheel,Blue,12,14
1882,1211,BMW,X5,Jeep,Yes,Diesel,3.0,265210,6,Automatic,4x4,Left wheel,Black,0,15
14113,761,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,169600,4,Automatic,Front,Left wheel,Silver,10,15
30734,2151,LEXUS,GX 470,Jeep,Yes,Petrol,4.7,264339,8,Automatic,4x4,Left wheel,Black,0,16
6586,-,HONDA,FIT,Hatchback,No,Petrol,1.3,204950,4,Variator,Front,Right-hand drive,Silver,2,21
32929,-,TOYOTA,Camry,Sedan,No,Hybrid,2.5,140000,4,Automatic,Front,Left wheel,Blue,12,9
10092,966,CHEVROLET,Lacetti,Sedan,Yes,Diesel,2.0,186836,4,Automatic,Front,Left wheel,Grey,4,16
12544,-,TOYOTA,Prius,Hatchback,Yes,Petrol,1.5,0,4,Variator,Front,Left wheel,White,12,18
11917,530,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,31691,4,Automatic,Front,Left wheel,White,4,12
16308,1811,LEXUS,GX 470,Jeep,Yes,Petrol,4.6,357246,8,Automatic,4x4,Left wheel,Grey,0,15
29793,-,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,85000,4,Variator,Front,Left wheel,Black,10,10
